UT,作者,机构,第几作者
WOS:001710458900011,"Tang, Chao","Jinling Inst Technol, Sch Animat, Nanjing, Jiangsu, Peoples R China.",1
WOS:001710458900011,"Li, Qingpu","Jinling Inst Technol, Sch Animat, Nanjing, Jiangsu, Peoples R China.",2
WOS:001710458900022,"Wang, Xiaoming","Tsinghua Univ, Beijing, Peoples R China.",1
WOS:001710458900022,"Zhang, Yue","Tsinghua Univ, Beijing, Peoples R China.",2
WOS:001531026100002,"Tang, Shu","Jinling Inst Technol, Fac Humanities & Social Sci, Nanjing 210038, Peoples R China.",1
WOS:001531026100002,"Li, Qingpu","Jinling Inst Technol, Fac Humanities & Social Sci, Nanjing 210038, Peoples R China.",2
WOS:001531026100002,"Xu, Zilin","Jinling Inst Technol, Fac Humanities & Social Sci, Nanjing 210038, Peoples R China.",3
WOS:001531026100002,"Feng, Nianhua","Jinling Inst Technol, Fac Humanities & Social Sci, Nanjing 210038, Peoples R China.",4
WOS:001132823000001,"Zhou, Ziheng","Jinling Inst Technol, Coll Intelligent Sci & Control Engn, Nanjing 211169, Peoples R China.",1
WOS:001132823000001,"Zhang, Chaolong","Jinling Inst Technol, Coll Intelligent Sci & Control Engn, Nanjing 211169, Peoples R China.",2
WOS:001064822400001,"Chen, Hui","Jinling Inst Technol, Sch Anim Sci & Food Engn, Nanjing 210038, Jiangsu, Peoples R China.",1
WOS:001064822400001,"Guo, Yunhao","Jinling Inst Technol, Sch Anim Sci & Food Engn, Nanjing 210038, Jiangsu, Peoples R China.",2
WOS:001064822400001,"Chen, Xiu","Jinling Inst Technol, Sch Anim Sci & Food Engn, Nanjing 210038, Jiangsu, Peoples R China.",3
WOS:001064822400001,"Liu, Teng","Jinling Inst Technol, Sch Anim Sci & Food Engn, Nanjing 210038, Jiangsu, Peoples R China.",4
WOS:001064822400001,"Zhang, Yuheng","Jinling Inst Technol, Sch Anim Sci & Food Engn, Nanjing 210038, Jiangsu, Peoples R China.",5
WOS:001064822400001,"Chen, Wenjun","Jinling Inst Technol, Sch Software Engn, Nanjing 210038, Jiangsu, Peoples R China.",6
WOS:001064822400001,"Feng, Meiqin","Jinling Inst Technol, Sch Anim Sci & Food Engn, Nanjing 210038, Jiangsu, Peoples R China.",7
WOS:000371069000001,"Ye, Yuanfeng","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Jiangsu, Peoples R China.",1
WOS:000371069000001,"Hu, Xiaohong","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Jiangsu, Peoples R China.",2
WOS:001464923200001,"Wang, Yuanyuan","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",1
WOS:001464923200001,"Jia, Shijun","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",2
WOS:001464923200001,"Ding, Shiqiang","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",3
WOS:001464923200001,"Zhang, Wenyan","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",4
WOS:001464923200001,"Shu, Rui","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",5
WOS:001464923200001,"Hu, Yingfei","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",6
WOS:001543191300004,"Niu, Ruikun","Jinling Inst Technol, Nanjing 211169, Peoples R China.",1
WOS:001543191300004,"Meng, Yanni","Jinling Inst Technol, Nanjing 211169, Peoples R China.",2
WOS:001543191300004,"Wang, Haiqiao","Jinling Inst Technol, Nanjing 211169, Peoples R China.",3
WOS:000746047300001,"Zhang, Wenyan","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",1
WOS:000746047300001,"Guan, Hangmin","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",2
WOS:000746047300001,"Hu, Yingfei","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",3
WOS:000746047300001,"Wang, Wei","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",4
WOS:000746047300001,"Hao, Linyun","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",5
WOS:000746047300001,"Yang, Xiaoli","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",6
WOS:000746047300001,"Tian, Wenjie","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",7
WOS:000719735400002,"Wu, Qiuling","Jinling Inst Technol, Sch Cyber Secur, Nanjing 211169, Peoples R China.",1
WOS:000719735400002,"Qu, Aiyan","Jinling Inst Technol, Sch Cyber Secur, Nanjing 211169, Peoples R China.",2
