UT,作者,机构,第几作者
WOS:001614501000001,"Chen, L","Nanjing Forestry Univ, Dept Phys Educ & Aesthet Educ, 159 Longpan Rd, Nanjing 210037, Peoples R China.",1
WOS:001614501000001,"Han, LL","Jinling Inst Technol, Dept Phys Educ, 99 Hongjing Rd, Nanjing 211169, Peoples R China.",2
WOS:001614501000001,"Wang, LP","Nanjing Univ Posts & Telecommun, Sch Econ, 9 Wenyuan Rd, Nanjing 210023, Peoples R China.",3
WOS:001614501000001,"Dong, LB","Nanjing Agr Univ, Dept Phys Educ, 1 Weigang, Nanjing 210095, Peoples R China.",4
WOS:001339710600001,"Fan, HT","Nanjing Univ Aeronaut & Astronaut, Civil Aviat Coll, Dept Civil & Airport Engn, Nanjing 210016, Peoples R China.",1
WOS:001339710600001,"Yu, HF","Nanjing Univ Aeronaut & Astronaut, Civil Aviat Coll, Dept Civil & Airport Engn, Nanjing 210016, Peoples R China.",2
WOS:001339710600001,"Ma, HY","Nanjing Univ Aeronaut & Astronaut, Civil Aviat Coll, Dept Civil & Airport Engn, Nanjing 210016, Peoples R China.",3
WOS:001339710600001,"Ma, HX","Nanjing Univ Aeronaut & Astronaut, Civil Aviat Coll, Dept Civil & Airport Engn, Nanjing 210016, Peoples R China.",4
WOS:001339710600001,"Chen, XQ","Nanjing Univ Aeronaut & Astronaut, Civil Aviat Coll, Dept Civil & Airport Engn, Nanjing 210016, Peoples R China.",5
WOS:001339710600001,"Xu, Y","Nanjing Univ Aeronaut & Astronaut, Civil Aviat Coll, Dept Civil & Airport Engn, Nanjing 210016, Peoples R China.",6
WOS:001339710600001,"Zhang, M","Nanjing Univ Aeronaut & Astronaut, Civil Aviat Coll, Dept Civil & Airport Engn, Nanjing 210016, Peoples R China.",7
WOS:001339710600001,"Du, Q","Nanjing Univ Aeronaut & Astronaut, Coll Econ & Management, Nanjing 210016, Peoples R China.",8
WOS:001367993600001,"Dai, Q","Jinling Inst Technol, Sch Network & Commun Engn, Nanjing 210096, Peoples R China.",1
WOS:001367993600001,"Zhang, X","Jinling Inst Technol, Sch Network & Commun Engn, Nanjing 210096, Peoples R China.",2
WOS:001367993600001,"Fang, RT","Southeast Univ, Adv Photon Ctr, Sch Elect Sci & Engn, Nanjing 210096, Peoples R China.",3
WOS:001367993600001,"Zhang, LL","Jinling Inst Technol, Sch Network & Commun Engn, Nanjing 210096, Peoples R China.",4
WOS:001367993600001,"Qi, ZQ","Jinling Inst Technol, Sch Network & Commun Engn, Nanjing 210096, Peoples R China.",5
WOS:001367993600001,"Chen, P","Jinling Inst Technol, Sch Network & Commun Engn, Nanjing 210096, Peoples R China.",6
WOS:001367993600001,"Chen, L","Jinling Inst Technol, Sch Network & Commun Engn, Nanjing 210096, Peoples R China.",7
WOS:001367993600001,"Wang, SC","Southeast Univ, Adv Photon Ctr, Sch Elect Sci & Engn, Nanjing 210096, Peoples R China.",8
WOS:001036489100001,"Wan, LX","Hohai Univ, Coll Sci, Nanjing 211100, Peoples R China.",1
WOS:001036489100001,"Zhang, LA","Hohai Univ, Business Sch, Changzhou 213022, Peoples R China.",2
WOS:001036489100001,"Chiu, YH","Soochow Univ, Dept Econ, Taipei 100, Taiwan.",3
WOS:001036489100001,"Pang, QH","Hohai Univ, Business Sch, Changzhou 213022, Peoples R China.",4
WOS:001036489100001,"Luo, Q","Jinling Inst Technol, Business Sch, Nanjing 211169, Peoples R China.",5
WOS:001036489100001,"Shi, Z","Hohai Univ, Business Sch, Changzhou 213022, Peoples R China.",6
WOS:000837700800007,"Ke, CB","Nanjing Univ Posts & Telecommun, Sch Comp Sci, Nanjing 210003, Peoples R China.",1
WOS:000837700800007,"Xiao, F","Nanjing Univ Posts & Telecommun, Sch Comp Sci, Nanjing 210003, Peoples R China.",2
WOS:000837700800007,"Huang, ZQ","Nanjing Univ Aeronaut & Astronaut, Coll Comp Sci & Technol, Nanjing 210016, Peoples R China.",3
WOS:000837700800007,"Xiao, FX","Nanjing Univ Posts & Telecommun, Sch Comp Sci, Nanjing 210003, Peoples R China.",4
WOS:000685165300019,"Sun, L","Jinling Inst Technol, Sch Mech & Elect Engn, Nanjing 210014, Peoples R China.",1
WOS:000685165300019,"Sun, N","Jinling Inst Technol, Sch Mech & Elect Engn, Nanjing 210014, Peoples R China.",2
WOS:000685165300019,"Liu, YC","Huaiyin Inst Technol, Sch Traff Engn, Huaian 223003, Peoples R China.",3
WOS:000685165300019,"Jiang, CM","Dalian Univ Technol, Sch Mech Engn, Dalian 116024, Peoples R China.",4
WOS:000649989900001,"Zhu, Y","Jinling Inst Technol, Sch Comp Engn, Nanjing 211169, Peoples R China.",1
WOS:000649989900001,"Huang, C","Jinling Inst Technol, Sch Comp Engn, Nanjing 211169, Peoples R China.",2
WOS:000649989900001,"Hu, ZH","Nanjing Univ Posts & Telecommun, Sch Comp Sci & Technol, Nanjing 210003, Peoples R China.",3
