UT,英文姓名,中文姓名,作者顺序
000833001300006,Zhao, Di,赵迪,2
000696728100001,Tong, Lili,童丽丽,1
000696728100001,Xia, Chongli,,4
000502128300035,Guo, Yanle,郭延乐,6
000425763100069,Ye, Yuanfeng,叶原丰,1
000425222000019,Feng, Mei-qin,冯美琴,2
000391351600021,Deng, K. -D.,邓凯东,5
000373096500009,Hu, Xiaohong,胡小红,1
000374416400007,Zhu, Lingxue,朱凌雪,2
000349736700008,Wang He-hua,王翯华,2
000360969100014,Deng, Kai-Dong,邓凯东,3
001691382700050,Zhou, Ceshen,,1
001681982300046,Chen, Qinghua,陈庆华,1
001651016300002,Fan, Lili,范利利,3
001650758500014,Fan, Junjun,范俊俊,6
001531499100001,Zhang, Jinbi,张金璧,2
001531499100001,Yin, Chao,尹超,3
001531499100001,Li, Fan,李帆,4
001151690200002,Wu, Ming,伍鸣,1
000988238900001,Gao, Lili,高丽丽,3
000905137400006,Yang, Xiaomei,杨晓梅,1
000518708900044,Tang, Yu-juan,唐玉娟,2
000351641000007,Dai, Shaoyu,戴绍虞,1
000367633200023,Deng Kai-dong,邓凯东,3
000295611900007,Wei Peng-fei,韦鹏飞,1
001549838300001,Zhang, Jinbi,张金璧,1
001551040400001,Huang, Yong,黄勇,1
001491215100001,Yan, Hao,阎浩,1
001491215100001,Wang, Yan,王艳,2
001491215100001,Liu, Guoxiu,刘国秀,3
001491215100001,Zhao, Juan,赵娟,4
001322864800001,Wang, Yizhi,王逸之,1
001322864800001,Zhang, Yusen,,2
001322864800001,Ma, Fengyuan,,3
001322864800001,Tian, Xiaomin,田小敏,4
001322864800001,Ge, Shanshan,葛珊珊,5
001322864800001,Man, Chaoyuan,满朝媛,6
001277725200001,Li, Zhichen,李志臣,1
001277725200001,Luo, Weiping,罗卫平,3
001277725200001,Ling, Xiujun,凌秀军,4
001253075500001,Fan, Chang-Chun,范长春,1
000915951800001,Hu, Xuemin,胡学敏,1
000915951800001,Feng, Zheng,,2
000915951800001,Yuan, Shaoyang,,3
000915951800001,Huang, Yong,黄勇,4
000924093500005,Liang, Dong,梁栋,3
000850436700001,He, Xiaofang,何晓芳,6
000851571600001,Ni, Yuan,倪媛,1
000738005700001,Qi, Zhengqing,祁正青,4
000656865500004,Deng, Kaidong,邓凯东,5
000529796700009,Li, J. E.,李金娥,1
000529139700256,Fang, Xuming,方旭明,1
000492524900001,Feng, Mei-Qin,冯美琴,1
000432071600001,Wang He-Hua,王翯华,1
000432071600001,Gu Xiao-Yan,顾晓燕,3
000430715000003,Hao, Lingyun,郝凌云,6
000350760500002,Zhang, Hui,张慧,1
000345090700015,Hu, Xiaohong,胡小红,5
001435931700001,Fan, Chang-Chun,范长春,1
001435931700001,Fang, Zi-Han,,2
001435931700001,Yu, Jing-Xue,于敬学,4
001317003000004,Lu, Chenghao,鲁承昊,1
001317986800001,Deng, Yaling,邓亚玲,1
001317986800001,Xu, Yu,许煜,3
001317986800001,Liu, Tao,,4
001138736300001,Zhu, Zhu,朱柱,1
001099555400007,Niu, Ruikun,牛瑞坤,1
001099555400007,Wu, Guanqi,,4
001099555400007,Sun, Li,孙丽,5
000800837000005,Liu, Xiaomeng,刘小萌,1
000800837000005,Nie, Weidong,聂卫东,2
000776055900001,Lotz, Tom,,1
000773001500014,Wang, He-Hua,王翯华,1
000750563800001,Huo, Feifei,霍飞飞,1
000750563800001,Zhu, Min,朱敏,3
000750563800001,Liu, Fei,刘飞,4
000750563800001,Tao, Yonghui,陶永会,5
000652324200001,Wang, Bingjun,王丙均,1
000549169800037,Wang, Kunyan,王昆彦,1
000509791500075,Li, J. E.,李金娥,3
000496717700001,Wang, Bingjun,王丙均,1
000478601000007,Tang, Yu-juan,唐玉娟,2
000469688200001,Peng, Xiaozhi,彭小智,1
000469688200001,Ma, Ling,马凌,3
000449005500005,Fu, Bin,符斌,2
000442220300016,Wang, Sake,汪萨克,1
000326144500045,Shao, Fei,邵斐,1
001668239900001,Tian, Liping,田丽萍,1
001668239900001,Shen, Lingbin,沈令斌,3
001607113900001,Niu, Ruikun,牛瑞坤,1
001607113900001,Wu, Guanqi,,3
001591618500001,Dong, Ruchan,董如婵,1
001591618500001,Jiang, Bin,,2
001591618500001,Wu, Wenjing,,3
001591618500001,Zhao, Hongjie,赵鸿洁,5
001591618500001,Shen, Qianyan,沈乾彦,6
001591618500001,Liu, Ya,刘娅,7
001138664600001,Liang, Dong,梁栋,2
001338554500019,Xue, Mei,薛媚,1
001338554500019,Zhang, Ping,张萍,3
001338554500019,Lei, Weiqiang,雷卫强,4
000949905400001,Zhang, Jinbi,张金璧,2
000884033000001,Zhang, Jinbi,张金璧,2
000884033000001,Liu, Jingge,刘京鸽,6
000808607100001,Gao, Sumei,高素美,1
000779129900004,Du, Hechao,杜贺超,1
000779129900004,Yao, Hongliang,姚宏亮,3
000694297400001,Zhang, Jinbi,张金璧,4
000694297400001,Liu, Jingge,刘京鸽,5
000629559800001,Tong, Lili,童丽丽,3
000521266800001,Tong, Lili,童丽丽,3
000521266800001,Xia, Chongli,,5
000496175900010,Zhang, Wenyan,张文妍,1
000496175900010,Li, Jing,李静,2
000496175900010,Guan, Hangmin,管航敏,4
000496175900010,Hao, Lingyun,郝凌云,5
000496475900002,Song, Chi,宋驰,1
000481581400012,Sun, Xue,孙雪,4
000483337000009,Deng, Kaidong,邓凯东,2
000445397300001,Meng, Chao,孟超,3
000392305200005,Zhang, Hui,张慧,1
000365351600058,Zhang, Xiaojuan,张小娟,3
000334651500016,Zhang, Hui,张慧,1
000317581900013,Feng, Meiqin,冯美琴,3
000293754500006,Zhang, Changqing,张长青,5
001697416800001,Wang, Fengfeng,王锋锋,1
001584874600001,Liu, Sumei,刘素梅,1
001366101300001,Liu, Haiqiang,刘海强,1
001366101300001,Hu, Caiping,胡彩平,3
001192545800001,Niu, Jia,牛佳,1
000977406100001,Tang, Yujuan,唐玉娟,3
000923957300001,Liu, Tongjin,刘同金,1
000871289000001,Jiang, Xiaowei,江筱薇,1
000591835900043,Wang, Zhiling,王志凌,5
000469180500001,Zhang, Ping,张萍,2
000400028400005,Deng, Kaidong,邓凯东,6
001383995800001,Wang, Zhiling,王志凌,1
001322452500001,Yan, Xinyun,颜新云,4
001174145400008,Ding, Kaimeng,丁凯孟,1
001174145400008,Zeng, Yue,曾岳,3
001174145400008,Liu, Yanan,柳亚男,4
001174145400008,Xu, Bei,许蓓,5
001174145400008,Wang, Yingying,王莹莹,6
001283050200012,Zhang, Ping,张萍,1
001283050200012,Xue, Mei,薛媚,2
001283050200012,Lei, Weiqiang,雷卫强,3
000897405700001,Gao, Lili,高丽丽,2
000663529300008,Feng, Meiqin,冯美琴,2
000591880200017,Fang, Xuming,方旭明,1
000559587300001,Jia, ZhiChao,贾志超,2
000527346800005,Li, J. E.,李金娥,4
000500038000011,Feng, Mei-qin,冯美琴,2
000510884300003,Zuo Xi,左熹,1
000454634300016,Meng, Chao,孟超,2
000441173100024,Guo, Hongtao,郭洪涛,8
000400199400012,Zhang, Hui,张慧,1
000394199300016,Deng, K. D.,邓凯东,1
000385034600023,Wang Yao,王瑶,6
000373911500064,Yang, Zhong,杨忠,1
000373911500064,Zhao, Hui,赵晖,2
000344749200002,Hu, Xiaohong,胡小红,7
000323958300001,Yan, Xiaoyong,严筱永,1
001692339500030,Tian, Liping,田丽萍,1
001692339500030,Chen, Lin,陈琳,4
001692339500030,Zhang, Xiang,,6
001692339500030,Shen, Lingbin,沈令斌,7
001565578700010,Zhang, Xiaomin,张小敏,1
001565578700010,Qin, Mingjun,,2
001565578700010,Ning, Guozhao,,3
001565578700010,Zhang, Tao,,4
001565578700010,Pang, Juan,庞娟,5
001565578700010,Ye, Yuanfeng,叶原丰,6
001565578700010,Li, Guangshui,李广水,8
001565578700010,Zeng, Xu,,9
001412818500062,Li, Guoli,李国利,1
001412818500062,Feng, Fei,,2
001402899000001,Liang, Dong,梁栋,2
001355590400001,Yang, Xiaomei,杨晓梅,1
001348492400001,Liu, Sha,刘莎,1
001343050000001,Chen, Junhong,陈俊红,1
001343050000001,Dai, Wei,戴薇,2
001343050000001,Lei, Weiqiang,雷卫强,4
001343050000001,Fang, Guangyuan,方光远,5
001343050000001,Dai, Dingzhen,戴鼎震,6
001273957600027,Huang, Xinmei,黄鑫梅,4
001153838600001,Wang, Shunyao,王顺尧,1
000940369000001,Shan, Xiaofeng,单晓峰,1
000940369000001,Wang, Chishe,王池社,2
000828979100001,Li, J. E.,李金娥,1
000782444700006,Hu, Guobing,胡国兵,1
000782444700006,Zhao, Pinjiao,赵嫔姣,5
000710490500008,Luo, Ronghua,罗荣华,1
