英文,中文
"Zhao, Di",赵迪
"Tong, Lili",童丽丽
"Guo, Yanle",郭延乐
"Ye, Yuanfeng",叶原丰
"Feng, Mei-qin",冯美琴
"Deng, K. -D.",邓凯东
"Hu, Xiaohong",胡小红
"Zhu, Lingxue",朱凌雪
Wang He-hua,王翯华
"Deng, Kai-Dong",邓凯东
"Chen, Qinghua",陈庆华
"Fan, Lili",范利利
"Fan, Junjun",范俊俊
"Yin, Chao",尹超
"Li, Fan",李帆
"Zhang, Jinbi",张金璧
"Wu, Ming",伍鸣
"Gao, Lili",高丽丽
"Yang, Xiaomei",杨晓梅
"Tang, Yu-juan",唐玉娟
"Dai, Shaoyu",戴绍虞
Deng Kai-dong,邓凯东
Wei Peng-fei,韦鹏飞
"Huang, Yong",黄勇
"Yan, Hao",阎浩
"Wang, Yan",王艳
"Liu, Guoxiu",刘国秀
"Zhao, Juan",赵娟
"Wang, Yizhi",王逸之
"Ge, Shanshan",葛珊珊
"Tian, Xiaomin",田小敏
"Man, Chaoyuan",满朝媛
"Luo, Weiping",罗卫平
"Li, Zhichen",李志臣
"Ling, Xiujun",凌秀军
"Fan, Chang-Chun",范长春
"Hu, Xuemin",胡学敏
"Liang, Dong",梁栋
"He, Xiaofang",何晓芳
"Ni, Yuan",倪媛
"Qi, Zhengqing",祁正青
"Deng, Kaidong",邓凯东
"Li, J. E.",李金娥
"Fang, Xuming",方旭明
Gu Xiao-Yan,顾晓燕
"Hao, Lingyun",郝凌云
"Zhang, Hui",张慧
"Yu, Jing-Xue",于敬学
"Lu, Chenghao",鲁承昊
"Deng, Yaling",邓亚玲
"Xu, Yu",许煜
"Zhu, Zhu",朱柱
"Niu, Ruikun",牛瑞坤
"Sun, Li",孙丽
"Liu, Xiaomeng",刘小萌
"Nie, Weidong",聂卫东
"Lotz, Tom","Lotz, Tom"
"Wang, He-Hua",王翯华
"Liu, Fei",刘飞
"Huo, Feifei",霍飞飞
"Tao, Yonghui",陶永会
"Zhu, Min",朱敏
"Wang, Bingjun",王丙均
"Wang, Kunyan",王昆彦
"Ma, Ling",马凌
"Peng, Xiaozhi",彭小智
"Fu, Bin",符斌
"Wang, Sake",汪萨克
"Shao, Fei",邵斐
"Shen, Lingbin",沈令斌
"Tian, Liping",田丽萍
"Dong, Ruchan",董如婵
"Liu, Ya",刘娅
"Shen, Qianyan",沈乾彦
"Zhao, Hongjie",赵鸿洁
